season,player_id,player,team,pos,g,mp,pts_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,fg_percent,x3p_percent,e_fg_percent,avg_dist_fga,percent_fga_from_x0_3_range,percent_fga_from_x3p_range,fg_percent_from_x3p_range,percent_assisted_x3p_fg,percent_dunks_of_fga,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,net_plus_minus_per_100_poss,points_generated_by_assists
2026,cunnica01,Cade Cunningham,DET,PG,17,624,28.3,6.3,9.2,1.2,0.7,4.0,3.6,0.456,0.312,0.501,12.7,0.179,0.288,0.312,0.382,0.042,88.0,12.0,0.0,0.0,0.0,4.3,381
2026,curryst01,Stephen Curry,GSW,PG,16,497,32.3,4.3,4.6,1.5,0.7,3.6,2.5,0.471,0.391,0.592,19.4,0.126,0.619,0.391,0.68,0.003,100.0,0.0,0.0,0.0,0.0,3.3,157
2026,daniedy01,Dyson Daniels,ATL,SG,21,707,11.0,7.0,6.4,2.3,0.4,2.5,2.7,0.497,0.172,0.51,7.8,0.349,0.149,0.172,1.0,0.067,0.0,53.0,46.0,1.0,0.0,9.2,301
2026,dasiltr01,Tristan Da Silva,ORL,SF,20,473,17.2,5.9,2.0,1.2,0.4,1.3,1.8,0.48,0.402,0.586,15.6,0.194,0.526,0.402,0.973,0.074,0.0,10.0,82.0,8.0,0.0,10.5,62
2026,demineg01,Egor Dёmin,BRK,PG,17,385,13.6,5.9,5.6,1.3,0.5,2.7,2.6,0.381,0.347,0.504,20.7,0.104,0.709,0.347,0.727,0.015,96.0,4.0,0.0,0.0,0.0,-3.1,162
2026,derozde01,DeMar DeRozan,SAC,PF,21,696,20.0,3.2,3.9,1.4,0.2,1.2,2.3,0.496,0.386,0.527,13.8,0.101,0.159,0.386,0.941,0.007,0.0,0.0,36.0,63.0,1.0,-4.5,191
2026,diabamo01,Moussa Diabaté,CHO,C,20,458,14.5,12.7,1.9,0.9,1.8,1.2,3.9,0.648,,0.648,3.0,0.667,0.0,,,0.286,0.0,0.0,0.0,4.0,96.0,5.8,60
2026,dickgr01,Gradey Dick,TOR,SG,21,340,14.5,4.4,1.6,1.5,0.2,1.0,2.2,0.393,0.313,0.482,17.1,0.214,0.571,0.313,1.0,0.054,0.0,52.0,44.0,4.0,0.0,14.9,37
2026,divindo01,Donte DiVincenzo,MIN,SG,20,625,16.1,4.6,4.1,1.3,0.5,1.6,2.6,0.429,0.397,0.58,21.0,0.073,0.761,0.397,0.968,0.01,45.0,54.0,2.0,0.0,0.0,15.5,173
2026,doncilu01,Luka Dončić,LAL,PG,15,559,33.9,8.4,8.9,1.7,0.6,3.9,2.5,0.471,0.339,0.553,18.0,0.088,0.485,0.339,0.375,0.006,82.0,18.0,0.0,0.0,0.0,8.1,320
2026,dortlu01,Luguentz Dort,OKC,SF,15,437,9.9,4.8,1.4,1.2,0.5,0.8,3.8,0.382,0.312,0.491,19.4,0.182,0.7,0.312,1.0,0.055,0.0,1.0,48.0,51.0,1.0,-0.5,39
2026,dosunay01,Ayo Dosunmu,CHI,SG,17,456,21.0,3.6,3.9,0.6,0.3,1.7,2.4,0.545,0.478,0.635,11.3,0.399,0.376,0.478,1.0,0.028,7.0,66.0,26.0,2.0,0.0,2.2,129
2026,drumman01,Andre Drummond,PHI,C,18,403,12.6,15.7,1.1,1.1,1.5,1.3,3.6,0.554,0.435,0.604,7.0,0.584,0.228,0.435,1.0,0.139,0.0,0.0,0.0,0.0,100.0,5.4,28
2026,dunnkr01,Kris Dunn,LAC,PG,20,529,10.6,3.7,3.5,2.2,0.3,1.8,3.2,0.492,0.36,0.565,13.5,0.218,0.403,0.36,1.0,0.024,85.0,15.0,0.0,0.0,0.0,-1.4,118
2026,dunnry01,Ryan Dunn,PHO,SF,16,385,12.5,7.2,2.8,2.1,1.0,1.5,3.8,0.478,0.34,0.549,12.2,0.336,0.416,0.34,1.0,0.168,0.0,2.0,39.0,58.0,0.0,9.1,72
2026,duranke01,Kevin Durant,HOU,SF,15,535,24.8,5.0,3.4,1.1,0.7,2.9,2.7,0.498,0.386,0.551,15.4,0.079,0.277,0.386,0.704,0.051,0.0,33.0,63.0,5.0,0.0,1.0,115
2026,durenja01,Jalen Duren,DET,C,17,495,24.1,14.6,2.5,1.1,1.3,3.2,4.1,0.654,,0.654,3.3,0.511,0.0,,,0.308,0.0,0.0,0.0,0.0,100.0,13.9,77
2026,easonta01,Tari Eason,HOU,PF,11,255,17.8,8.0,2.5,1.3,0.7,2.7,2.5,0.495,0.509,0.637,16.8,0.242,0.558,0.509,0.963,0.063,0.0,3.0,66.0,30.0,0.0,-2.3,43
2026,edeyza01,Zach Edey,MEM,C,8,203,19.3,15.8,1.2,1.1,3.2,2.8,4.3,0.672,0.333,0.679,4.5,0.478,0.045,0.333,1.0,0.224,0.0,0.0,0.0,0.0,100.0,32.4,21
2026,edgecvj01,VJ Edgecombe,PHI,SG,16,582,14.9,5.7,4.0,1.3,0.4,1.9,3.1,0.41,0.36,0.48,13.9,0.234,0.387,0.36,0.968,0.086,21.0,79.0,0.0,0.0,0.0,8.5,159
2026,edwaran01,Anthony Edwards,MIN,SG,16,533,31.3,4.9,4.2,1.4,0.7,2.9,2.1,0.491,0.409,0.579,15.7,0.179,0.431,0.409,0.589,0.044,2.0,65.0,33.0,1.0,0.0,-3.9,154
2026,edwarju01,Justin Edwards,PHI,SF,17,289,13.2,4.1,3.0,1.4,0.5,2.0,4.4,0.409,0.345,0.516,18.7,0.108,0.624,0.345,0.95,0.032,0.0,2.0,82.0,16.0,0.0,-19.0,65
2026,elliske01,Keon Ellis,SAC,SG,20,331,12.4,2.9,1.3,2.6,0.9,1.0,3.9,0.429,0.415,0.577,20.3,0.099,0.714,0.415,0.963,0.066,50.0,47.0,4.0,0.0,0.0,-5.3,31
2026,eubandr01,Drew Eubanks,SAC,C,21,330,13.5,7.3,0.9,1.3,1.7,2.3,3.4,0.624,0.5,0.629,5.9,0.341,0.024,0.5,1.0,0.259,0.0,0.0,0.0,1.0,100.0,5.3,19
2026,fearsje01,Jeremiah Fears,NOP,PG,21,571,20.4,4.4,3.6,2.0,0.2,3.0,2.6,0.445,0.36,0.495,11.5,0.318,0.274,0.36,0.667,0.022,91.0,9.0,0.0,0.0,0.0,-19.1,133
2026,filipky01,Kyle Filipowski,UTA,C,18,372,14.9,10.4,4.0,0.6,1.0,2.0,4.8,0.435,0.319,0.496,12.5,0.153,0.379,0.319,1.0,0.097,0.0,0.0,0.0,45.0,55.0,2.1,100
2026,flaggco01,Cooper Flagg,DAL,PG,20,678,17.7,7.0,3.7,1.4,0.6,2.3,2.5,0.462,0.253,0.496,12.2,0.226,0.269,0.253,0.737,0.079,19.0,80.0,1.0,0.0,0.0,-17.2,173
2026,fontesi01,Simone Fontecchio,MIA,SF,19,357,19.8,5.3,3.0,1.0,0.3,2.0,3.6,0.423,0.393,0.564,19.6,0.141,0.718,0.393,0.976,0.02,0.0,0.0,26.0,72.0,1.0,-2.7,73
2026,foxde01,De'Aaron Fox,SAS,PG,11,368,25.9,3.7,7.1,1.5,0.4,3.4,2.7,0.495,0.368,0.561,14.2,0.189,0.358,0.368,0.44,0.005,100.0,0.0,0.0,0.0,0.0,-2.6,185
2026,gaffoda01,Daniel Gafford,DAL,C,14,329,14.4,10.0,2.1,1.4,2.3,2.1,4.5,0.617,,0.617,3.2,0.63,0.0,,,0.272,0.0,0.0,0.0,0.0,100.0,1.3,44
2026,garzalu01,Luka Garza,BOS,C,17,239,16.6,9.6,2.0,0.8,0.9,1.1,7.2,0.565,0.44,0.645,12.2,0.319,0.362,0.44,1.0,0.014,0.0,0.0,0.0,0.0,100.0,-18.0,33
2026,georgke01,Keyonte George,UTA,PG,19,644,23.9,4.2,7.3,1.0,0.3,3.7,2.5,0.44,0.325,0.506,15.7,0.055,0.408,0.325,0.707,0.029,100.0,0.0,0.0,0.0,0.0,-5.9,306
2026,georgky01,Kyshawn George,WAS,SF,16,500,18.2,7.1,5.5,1.2,1.0,3.9,5.0,0.479,0.437,0.579,15.9,0.2,0.458,0.437,0.868,0.021,0.0,1.0,42.0,54.0,3.0,-2.5,186
